Capacity (MW),,,"Count ""off"" Init (h)",,,"Count ""on"" Init (h)",,,No Load Cost ($),,,,,,Ramp Up Limit (MW/h),,,,,,Ramp Down Limit (MW/h),,,,,,Min. Down Time (h),,,,,,Min. Up Time (h),,,,,,Min. Output (MW),,,,,,Output at t=0 (MW),,,Cost ($/MW):,,,,,,,,Output Block (MW):,,,,,Start-up Cost ($):,,,,,,,,Start-up Blocks (h):,,,,,,,,,,,,,,,,,Start-up Cost($),
,column1,,,column1,,,column1,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,column1,,,,,tr1,tr2,tr3,tr4,,,b1,b2,b3,,,,,tr1,tr2,tr3,tr4,,,j1,j2,j3,j4,j5,j6,j7,j8,,,,,,,StartUp,,,Column1
i11,100,,i11,0,,i11,2,,i11,306.603,211.31,306.603,306.603,,i11,420,51,51,51,,i11,420,74,74,74,,i11,2,2,2,2,,i11,4,4,4,4,,i11,40,25,25,25,,i11,80,,i4,.,b2,19.238,14.17,19.238,19.238,,i11,33.33333333,33.33333333,33.33333333,,i2,.,j3,31,3.214285714,31,31,,i11,1,2,3,4,5,6,7,8,,i11,,,31,0,0,,i11,102.8571429
i12,197,,i12,0,,i12,2,,i12,482.862,239.19,482.862,482.862,,i12,310,55,70,55,,i12,310,99,99,99,,i12,3,4,3,4,,i12,4,5,4,5,,i12,104,55,69,55,,i12,177,,i4,.,b3,20.112,14.533,20.112,20.112,,i12,65.66666667,65.66666667,65.66666667,,i2,.,j4,34,3.571428571,34,34,,i12,1,2,3,4,5,6,7,8,,i12,,,34,0,0,,i12,195.7142857
i13,197,,i13,0,,i13,2,,i13,482.872,239.64,482.872,482.872,,i13,310,55,70,55,,i13,310,99,99,99,,i13,3,4,3,4,,i13,4,5,4,5,,i13,104,55,69,55,,i13,155,,i5,.,b1,28.947,37.958,28.947,28.947,,i13,65.66666667,65.66666667,65.66666667,,i2,.,j5,37,3.928571429,37,37,,i13,1,2,3,4,5,6,7,8,,i13,,,37,0,0,,i13,195.7142857
i14,197,,i14,2,,i14,0,,i14,482.882,239.94,482.882,482.882,,i14,310,55,70,55,,i14,310,99,99,99,,i14,3,4,3,4,,i14,4,5,4,5,,i14,104,55,69,55,,i14,0,,i5,.,b2,29.223,38.103,29.223,29.223,,i14,65.66666667,65.66666667,65.66666667,,i2,.,j6,40,4.285714286,40,40,,i14,1,2,3,4,5,6,7,8,,i14,,,40,1,40,,i14,195.7142857
i15,12,,i15,0,,i15,6,,i15,365.46,24.049,365.46,365.46,,i15,60,48,48,48,,i15,70,60,60,60,,i15,1,1,1,1,,i15,2,1,2,1,,i15,5.4,2.4,2.4,2.4,,i15,12,,i5,.,b3,29.683,38.248,29.683,29.683,,i15,4,4,4,,i2,.,j7,43,4.642857143,43,43,,i15,1,2,3,4,5,6,7,8,,i15,,,43,0,0,,i15,34.28571429
i16,12,,i16,0,,i16,7,,i16,365.47,24.055,365.47,365.47,,i16,60,48,48,48,,i16,70,60,60,60,,i16,1,1,1,1,,i16,2,1,2,1,,i16,5.4,2.4,2.4,2.4,,i16,12,,i6,.,b1,28.937,38.081,28.937,28.937,,i16,4,4,4,,i2,.,j8,46,5,46,46,,i16,1,2,3,4,5,6,7,8,,i16,,,46,0,0,,i16,34.28571429
i17,12,,i17,0,,i17,8,,i17,365.48,24.262,365.48,365.48,,i17,60,48,48,48,,i17,70,60,60,60,,i17,1,1,1,1,,i17,2,1,2,1,,i17,5.4,2.4,2.4,2.4,,i17,12,,i6,.,b2,29.213,38.234,29.213,29.213,,i17,4,4,4,,i3,.,j1,44,327.8,44,44,,i17,1,2,3,4,5,6,7,8,,i17,,,44,0,0,,i17,34.28571429
i18,12,,i18,9,,i18,0,,i18,365.49,24.379,365.49,365.49,,i18,60,48,48,48,,i18,70,60,60,60,,i18,1,1,1,1,,i18,2,1,2,1,,i18,5.4,2.4,2.4,2.4,,i18,0,,i6,.,b3,29.673,38.387,29.673,29.673,,i18,4,4,4,,i3,.,j2,50.85714286,374.6285714,50.85714286,50.85714286,,i18,1,2,3,4,5,6,7,8,,i18,,,50.85714286,0,0,,i18,34.28571429
i19,12,,i19,5,,i19,0,,i19,365.475,24.504,365.475,365.475,,i19,60,48,48,48,,i19,70,60,60,60,,i19,1,1,1,1,,i19,2,1,2,1,,i19,5.4,2.4,2.4,2.4,,i19,0,,i7,.,b1,18.413,13.842,18.413,18.413,,i19,4,4,4,,i3,.,j3,57.71428571,421.4571429,57.71428571,57.71428571,,i19,1,2,3,4,5,6,7,8,,i19,,,57.71428571,0,0,,i19,34.28571429
i20,155,,i20,0,,i20,8,,i20,415.541,120.67,415.541,415.541,,i20,70,55,55,55,,i20,80,78,78,78,,i20,16,3,16,3,,i20,24,5,24,5,,i20,54.24,54.24,54.24,54.24,,i20,134,,i7,.,b2,19.218,14.211,19.218,19.218,,i20,51.66666667,51.66666667,51.66666667,,i3,.,j4,64.57142857,468.2857143,64.57142857,64.57142857,,i20,1,2,3,4,5,6,7,8,,i20,,,64.57142857,0,0,,i20,1630.571429
i21,155,,i21,0,,i21,8,,i21,415.551,120.5,415.551,415.551,,i21,70,55,55,55,,i21,80,78,78,78,,i21,16,3,16,3,,i21,24,5,24,5,,i21,54.24,54.24,54.24,54.24,,i21,123,,i7,.,b3,20.092,14.58,20.092,20.092,,i21,51.66666667,51.66666667,51.66666667,,i3,.,j5,71.42857143,515.1142857,71.42857143,71.42857143,,i21,1,2,3,4,5,6,7,8,,i21,,,71.42857143,0,0,,i21,1630.571429
i22,400,,i22,8,,i22,0,,i22,188.3079,271.2,188.3079,188.3079,,i22,280,100,100,100,,i22,280,100,100,100,,i22,24,5,24,5,,i22,168,8,168,8,,i22,100,100,100,100,,i22,0,,i8,.,b1,18.403,13.879,18.403,18.403,,i22,133.3333333,133.3333333,133.3333333,,i3,.,j6,78.28571429,561.9428571,78.28571429,78.28571429,,i22,1,2,3,4,5,6,7,8,,i22,,,78.28571429,1,78.28571429,,i22,38571.42857
i23,400,,i23,0,,i23,8,,i23,188.3179,272.91,188.3179,188.3179,,i23,280,100,100,100,,i23,280,100,100,100,,i23,24,5,24,5,,i23,168,8,168,8,,i23,100,100,100,100,,i23,377,,i8,.,b2,19.208,14.257,19.208,19.208,,i23,133.3333333,133.3333333,133.3333333,,i3,.,j7,85.14285714,608.7714286,85.14285714,85.14285714,,i23,1,2,3,4,5,6,7,8,,i23,,,85.14285714,0,0,,i23,38571.42857
i24,50,,i24,0,,i24,8,,i24,626.106,100.1,626.106,626.106,,i24,120,38.5,38.5,38.5,,i24,120,80,80,80,,i24,1,1,1,1,,i24,2,2,2,2,,i24,26,12,12,12,,i24,47,,i8,.,b3,20.082,14.635,20.082,20.082,,i24,16.66666667,16.66666667,16.66666667,,i3,.,j8,92,655.6,92,92,,i24,1,2,3,4,5,6,7,8,,i24,,,92,0,0,,i24,51.42857143
i25,50,,i25,0,,i25,8,,i25,626.116,100.2,626.116,626.116,,i25,120,38.5,38.5,38.5,,i25,120,80,80,80,,i25,1,1,1,1,,i25,2,2,2,2,,i25,26,12,12,12,,i25,48,,i9,.,b1,17.5904,18.467,17.5904,17.5904,,i25,16.66666667,16.66666667,16.66666667,,i4,.,j1,44,327.8,44,44,,i25,1,2,3,4,5,6,7,8,,i25,,,44,0,0,,i25,51.42857143
i26,50,,i26,8,,i26,0,,i26,626.096,100.3,626.096,626.096,,i26,120,38.5,38.5,38.5,,i26,120,80,80,80,,i26,1,1,1,1,,i26,2,2,2,2,,i26,26,12,12,12,,i26,0,,i9,.,b2,18.2804,18.779,18.2804,18.2804,,i26,16.66666667,16.66666667,16.66666667,,i4,.,j2,50.85714286,374.6285714,50.85714286,50.85714286,,i26,1,2,3,4,5,6,7,8,,i26,,,50.85714286,0,0,,i26,51.42857143
i27,50,,i27,8,,i27,0,,i27,626.126,100.4,626.126,626.126,,i27,120,38.5,38.5,38.5,,i27,120,80,80,80,,i27,1,1,1,1,,i27,2,2,2,2,,i27,26,12,12,12,,i27,0,,i9,.,b3,18.9658,19.09,18.9658,18.9658,,i27,16.66666667,16.66666667,16.66666667,,i4,.,j3,57.71428571,421.4571429,57.71428571,57.71428571,,i27,1,2,3,4,5,6,7,8,,i27,,,57.71428571,0,0,,i27,51.42857143
i28,50,,i28,0,,i28,8,,i28,626.086,100.5,626.086,626.086,,i28,120,38.5,38.5,38.5,,i28,120,80,80,80,,i28,1,1,1,1,,i28,2,2,2,2,,i28,26,12,12,12,,i28,50,,i10,.,b1,17.6004,18.559,17.6004,17.6004,,i28,16.66666667,16.66666667,16.66666667,,i4,.,j4,64.57142857,468.2857143,64.57142857,64.57142857,,i28,1,2,3,4,5,6,7,8,,i28,,,64.57142857,0,0,,i28,51.42857143
i29,50,,i29,0,,i29,8,,i29,626.1065,100.6,626.1065,626.1065,,i29,120,38.5,38.5,38.5,,i29,120,80,80,80,,i29,1,1,1,1,,i29,2,2,2,2,,i29,26,12,12,12,,i29,50,,i10,.,b2,18.2904,18.865,18.2904,18.2904,,i29,16.66666667,16.66666667,16.66666667,,i4,.,j5,71.42857143,515.1142857,71.42857143,71.42857143,,i29,1,2,3,4,5,6,7,8,,i29,,,71.42857143,0,0,,i29,51.42857143
i30,155,,i30,0,,i30,8,,i30,415.531,120.41,415.531,415.531,,i30,70,55,55,55,,i30,80,78,78,78,,i30,16,3,16,3,,i30,24,5,24,5,,i30,54.24,54.24,54.24,54.24,,i30,150,,i10,.,b3,18.9758,19.171,18.9758,18.9758,,i30,51.66666667,51.66666667,51.66666667,,i4,.,j6,78.28571429,561.9428571,78.28571429,78.28571429,,i30,1,2,3,4,5,6,7,8,,i30,,,78.28571429,1,78.28571429,,i30,1630.571429
i31,155,,i31,8,,i31,0,,i31,415.561,120.4,415.561,415.561,,i31,70,55,55,55,,i31,80,78,78,78,,i31,16,3,16,3,,i31,24,5,24,5,,i31,54.24,54.24,54.24,54.24,,i31,0,,i11,.,b1,17.5804,18.648,17.5804,17.5804,,i31,51.66666667,51.66666667,51.66666667,,i4,.,j7,85.14285714,608.7714286,85.14285714,85.14285714,,i31,1,2,3,4,5,6,7,8,,i31,,,85.14285714,0,0,,i31,1630.571429
i32,350,,i32,8,,i32,0,,i32,303.784,132.08,303.784,303.784,,i32,140,70,140,70,,i32,140,120,140,120,,i32,5,5,5,5,,i32,8,8,8,8,,i32,140,70,140,70,,i32,0,,i11,.,b2,18.2704,18.948,18.2704,18.2704,,i32,116.6666667,116.6666667,116.6666667,,i4,.,j8,92,655.6,92,92,,i32,1,2,3,4,5,6,7,8,,i32,,,92,0,0,,i32,10094.28571
i33,20,,i33,0,,i33,8,,i33,454.577,120.83,454.577,454.577,,i33,90,30.5,30.5,30.5,,i33,100,70,70,70,,i33,1,1,1,1,,i33,2,1,2,1,,i33,8,4,4,4,,i33,20,,i11,.,b3,18.9558,19.246,18.9558,18.9558,,i33,6.666666667,6.666666667,6.666666667,,i5,.,j1,25,2.5,25,25,,i33,1,2,3,4,5,6,7,8,,i33,,,25,0,0,,i33,40
i34,20,,i34,0,,i34,89,,i34,454.567,121.17,454.567,454.567,,i34,90,30.5,30.5,30.5,,i34,100,70,70,70,,i34,1,1,1,1,,i34,2,1,2,1,,i34,8,4,4,4,,i34,20,,i12,.,b1,17.1925,23.468,17.1925,17.1925,,i34,6.666666667,6.666666667,6.666666667,,i5,.,j2,28,2.857142857,28,28,,i34,1,2,3,4,5,6,7,8,,i34,,,28,0,0,,i34,40
i35,76,,i35,0,,i35,66,,i35,263.417,78.706,263.417,263.417,,i35,120,38.5,38.5,38.5,,i35,120,80,80,80,,i35,2,2,2,2,,i35,3,3,3,3,,i35,40,15.2,15.2,15.2,,i35,70,,i12,.,b2,17.7077,23.689,17.7077,17.7077,,i35,25.33333333,25.33333333,25.33333333,,i5,.,j3,31,3.214285714,31,31,,i35,1,2,3,4,5,6,7,8,,i35,,,31,0,0,,i35,78.28571429
i36,76,,i36,66,,i36,0,,i36,263.427,78.767,263.427,263.427,,i36,120,38.5,38.5,38.5,,i36,120,80,80,80,,i36,2,2,2,2,,i36,3,3,3,3,,i36,40,15.2,15.2,15.2,,i36,0,,i12,.,b3,18.2252,23.91,18.2252,18.2252,,i36,25.33333333,25.33333333,25.33333333,,i5,.,j4,34,3.571428571,34,34,,i36,1,2,3,4,5,6,7,8,,i36,,,34,0,0,,i36,78.28571429
i37,20,,i37,66,,i37,0,,i37,454.557,121.49,454.557,454.557,,i37,90,30.5,30.5,30.5,,i37,100,70,70,70,,i37,1,1,1,1,,i37,2,1,2,1,,i37,8,4,4,4,,i37,0,,i13,.,b1,17.2025,23.57,17.2025,17.2025,,i37,6.666666667,6.666666667,6.666666667,,i5,.,j5,37,3.928571429,37,37,,i37,1,2,3,4,5,6,7,8,,i37,,,37,0,0,,i37,40
i38,20,,i38,66,,i38,0,,i38,454.547,121.83,454.547,454.547,,i38,90,30.5,30.5,30.5,,i38,100,70,70,70,,i38,1,1,1,1,,i38,2,1,2,1,,i38,8,4,4,4,,i38,0,,i13,.,b2,17.7177,23.791,17.7177,17.7177,,i38,6.666666667,6.666666667,6.666666667,,i5,.,j6,40,4.285714286,40,40,,i38,1,2,3,4,5,6,7,8,,i38,,,40,1,40,,i38,40
i39,76,,i39,66,,i39,0,,i39,263.407,78.855,263.407,263.407,,i39,120,38.5,38.5,38.5,,i39,120,80,80,80,,i39,2,2,2,2,,i39,3,3,3,3,,i39,40,15.2,15.2,15.2,,i39,0,,i13,.,b3,18.2352,24.013,18.2352,18.2352,,i39,25.33333333,25.33333333,25.33333333,,i5,.,j7,43,4.642857143,43,43,,i39,1,2,3,4,5,6,7,8,,i39,,,43,0,0,,i39,78.28571429
i40,76,,i40,1,,i40,0,,i40,263.397,78.9,263.397,263.397,,i40,120,38.5,38.5,38.5,,i40,120,80,80,80,,i40,2,2,2,2,,i40,3,3,3,3,,i40,40,15.2,15.2,15.2,,i40,0,,i14,.,b1,17.2125,23.676,17.2125,17.2125,,i40,25.33333333,25.33333333,25.33333333,,i5,.,j8,46,5,46,46,,i40,1,2,3,4,5,6,7,8,,i40,,,46,0,0,,i40,78.28571429
i41,100,,i41,0,,i41,1,,i41,306.617,216.42,306.617,306.617,,i41,420,51,51,51,,i41,420,74,74,74,,i41,2,2,2,2,,i41,4,4,4,4,,i41,40,25,25,25,,i41,100,,i14,.,b2,17.7277,23.899,17.7277,17.7277,,i41,33.33333333,33.33333333,33.33333333,,i6,.,j1,25,2.5,25,25,,i41,1,2,3,4,5,6,7,8,,i41,,,25,0,0,,i41,102.8571429
i42,100,,i42,0,,i42,56,,i42,306.627,217.01,306.627,306.627,,i42,420,51,51,51,,i42,420,74,74,74,,i42,2,2,2,2,,i42,4,4,4,4,,i42,40,25,25,25,,i42,90,,i14,.,b3,18.2452,24.124,18.2452,18.2452,,i42,33.33333333,33.33333333,33.33333333,,i6,.,j2,28,2.857142857,28,28,,i42,1,2,3,4,5,6,7,8,,i42,,,28,0,0,,i42,102.8571429
i43,100,,i43,0,,i43,56,,i43,306.607,217.64,306.607,306.607,,i43,420,51,51,51,,i43,420,74,74,74,,i43,2,2,2,2,,i43,4,4,4,4,,i43,40,25,25,25,,i43,80,,i15,.,b1,29.453,25.75,29.453,29.453,,i43,33.33333333,33.33333333,33.33333333,,i6,.,j3,31,3.214285714,31,31,,i43,1,2,3,4,5,6,7,8,,i43,,,31,0,0,,i43,102.8571429
i44,197,,i44,0,,i44,56,,i44,482.867,246.37,482.867,482.867,,i44,310,55,70,55,,i44,310,99,99,99,,i44,3,4,3,4,,i44,4,5,4,5,,i44,104,55,69,55,,i44,177,,i15,.,b2,30.12,25.912,30.12,30.12,,i44,65.66666667,65.66666667,65.66666667,,i6,.,j4,34,3.571428571,34,34,,i44,1,2,3,4,5,6,7,8,,i44,,,34,0,0,,i44,195.7142857
i45,197,,i45,0,,i45,56,,i45,482.877,246.83,482.877,482.877,,i45,310,55,70,55,,i45,310,99,99,99,,i45,3,4,3,4,,i45,4,5,4,5,,i45,104,55,69,55,,i45,155,,i15,.,b3,30.856,26.074,30.856,30.856,,i45,65.66666667,65.66666667,65.66666667,,i6,.,j5,37,3.928571429,37,37,,i45,1,2,3,4,5,6,7,8,,i45,,,37,0,0,,i45,195.7142857
i46,197,,i46,56,,i46,0,,i46,482.887,247.13,482.887,482.887,,i46,310,55,70,55,,i46,310,99,99,99,,i46,3,4,3,4,,i46,4,5,4,5,,i46,104,55,69,55,,i46,0,,i16,.,b1,29.463,25.887,29.463,29.463,,i46,65.66666667,65.66666667,65.66666667,,i6,.,j6,40,4.285714286,40,40,,i46,1,2,3,4,5,6,7,8,,i46,,,40,1,40,,i46,195.7142857
i47,12,,i47,0,,i47,56,,i47,365.467,24.77,365.467,365.467,,i47,60,48,48,48,,i47,70,60,60,60,,i47,1,1,1,1,,i47,2,1,2,1,,i47,5.4,2.4,2.4,2.4,,i47,12,,i16,.,b2,30.13,26.056,30.13,30.13,,i47,4,4,4,,i6,.,j7,43,4.642857143,43,43,,i47,1,2,3,4,5,6,7,8,,i47,,,43,0,0,,i47,34.28571429
i48,12,,i48,0,,i48,56,,i48,365.477,24.777,365.477,365.477,,i48,60,48,48,48,,i48,70,60,60,60,,i48,1,1,1,1,,i48,2,1,2,1,,i48,5.4,2.4,2.4,2.4,,i48,12,,i16,.,b3,30.866,26.226,30.866,30.866,,i48,4,4,4,,i6,.,j8,46,5,46,46,,i48,1,2,3,4,5,6,7,8,,i48,,,46,0,0,,i48,34.28571429
i49,12,,i49,0,,i49,98,,i49,365.487,24.989,365.487,365.487,,i49,60,48,48,48,,i49,70,60,60,60,,i49,1,1,1,1,,i49,2,1,2,1,,i49,5.4,2.4,2.4,2.4,,i49,12,,i17,.,b1,29.473,26.027,29.473,29.473,,i49,4,4,4,,i7,.,j1,44,327.8,44,44,,i49,1,2,3,4,5,6,7,8,,i49,,,44,0,0,,i49,34.28571429
i50,12,,i50,124,,i50,0,,i50,365.497,25.11,365.497,365.497,,i50,60,48,48,48,,i50,70,60,60,60,,i50,1,1,1,1,,i50,2,1,2,1,,i50,5.4,2.4,2.4,2.4,,i50,0,,i17,.,b2,30.14,26.206,30.14,30.14,,i50,4,4,4,,i7,.,j2,50.85714286,374.6285714,50.85714286,50.85714286,,i50,1,2,3,4,5,6,7,8,,i50,,,50.85714286,0,0,,i50,34.28571429
i51,12,,i51,1000,,i51,0,,i51,365.477,25.239,365.477,365.477,,i51,60,48,48,48,,i51,70,60,60,60,,i51,1,1,1,1,,i51,2,1,2,1,,i51,5.4,2.4,2.4,2.4,,i51,0,,i17,.,b3,30.876,26.386,30.876,30.876,,i51,4,4,4,,i7,.,j3,57.71428571,421.4571429,57.71428571,57.71428571,,i51,1,2,3,4,5,6,7,8,,i51,,,57.71428571,0,0,,i51,34.28571429
i52,155,,i52,0,,i52,1000,,i52,415.547,124.29,415.547,415.547,,i52,70,55,55,55,,i52,80,78,78,78,,i52,16,3,16,3,,i52,24,5,24,5,,i52,54.24,54.24,54.24,54.24,,i52,134,,i18,.,b1,29.483,26.159,29.483,29.483,,i52,51.66666667,51.66666667,51.66666667,,i7,.,j4,64.57142857,468.2857143,64.57142857,64.57142857,,i52,1,2,3,4,5,6,7,8,,i52,,,64.57142857,0,0,,i52,1630.571429
i53,155,,i53,0,,i53,1000,,i53,415.557,124.11,415.557,415.557,,i53,70,55,55,55,,i53,80,78,78,78,,i53,16,3,16,3,,i53,24,5,24,5,,i53,54.24,54.24,54.24,54.24,,i53,123,,i18,.,b2,30.15,26.341,30.15,30.15,,i53,51.66666667,51.66666667,51.66666667,,i7,.,j5,71.42857143,515.1142857,71.42857143,71.42857143,,i53,1,2,3,4,5,6,7,8,,i53,,,71.42857143,0,0,,i53,1630.571429
i54,400,,i54,50,,i54,0,,i54,188.307,279.34,188.307,188.307,,i54,280,100,100,100,,i54,280,100,100,100,,i54,24,5,24,5,,i54,168,8,168,8,,i54,100,100,100,100,,i54,0,,i18,.,b3,30.886,26.523,30.886,30.886,,i54,133.3333333,133.3333333,133.3333333,,i7,.,j6,78.28571429,561.9428571,78.28571429,78.28571429,,i54,1,2,3,4,5,6,7,8,,i54,,,78.28571429,1,78.28571429,,i54,38571.42857
i55,400,,i55,0,,i55,50,,i55,188.317,281.1,188.317,188.317,,i55,280,100,100,100,,i55,280,100,100,100,,i55,24,5,24,5,,i55,168,8,168,8,,i55,100,100,100,100,,i55,377,,i19,.,b1,29.465,26.289,29.465,29.465,,i55,133.3333333,133.3333333,133.3333333,,i7,.,j7,85.14285714,608.7714286,85.14285714,85.14285714,,i55,1,2,3,4,5,6,7,8,,i55,,,85.14285714,0,0,,i55,38571.42857
i56,50,,i56,0,,i56,90,,i56,626.107,101.1,626.107,626.107,,i56,120,38.5,38.5,38.5,,i56,120,80,80,80,,i56,1,1,1,1,,i56,2,2,2,2,,i56,26,12,12,12,,i56,47,,i19,.,b2,30.135,26.472,30.135,30.135,,i56,16.66666667,16.66666667,16.66666667,,i7,.,j8,92,655.6,92,92,,i56,1,2,3,4,5,6,7,8,,i56,,,92,0,0,,i56,51.42857143
i57,50,,i57,0,,i57,900,,i57,626.117,101.2,626.117,626.117,,i57,120,38.5,38.5,38.5,,i57,120,80,80,80,,i57,1,1,1,1,,i57,2,2,2,2,,i57,26,12,12,12,,i57,48,,i19,.,b3,30.865,26.655,30.865,30.865,,i57,16.66666667,16.66666667,16.66666667,,i8,.,j1,44,327.8,44,44,,i57,1,2,3,4,5,6,7,8,,i57,,,44,0,0,,i57,51.42857143
i58,50,,i58,900,,i58,0,,i58,626.097,101.3,626.097,626.097,,i58,120,38.5,38.5,38.5,,i58,120,80,80,80,,i58,1,1,1,1,,i58,2,2,2,2,,i58,26,12,12,12,,i58,0,,i20,.,b1,23.8096,11.352,23.8096,23.8096,,i58,16.66666667,16.66666667,16.66666667,,i8,.,j2,50.85714286,374.6285714,50.85714286,50.85714286,,i58,1,2,3,4,5,6,7,8,,i58,,,50.85714286,0,0,,i58,51.42857143
