Capacity (MW),,,"Count ""off"" Init (h)",,,"Count ""on"" Init (h)",,,No Load Cost ($),,,,,,Ramp Up Limit (MW/h),,,,,,Ramp Down Limit (MW/h),,,,,,Min. Down Time (h),,,,,,Min. Up Time (h),,,,,,Min. Output (MW),,,,,,Output at t=0 (MW),,,Cost ($/MW):,,,,,,,,Output Block (MW):,,,,,Start-up Cost ($):,,,,,,,,Start-up Blocks (h):,,,,,,,,,,,,,,,,,Start-up Cost($),
,column1,,,column1,,,column1,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,column1,,,,,tr1,tr2,tr3,tr4,,,b1,b2,b3,,,,,tr1,tr2,tr3,tr4,,,j1,j2,j3,j4,j5,j6,j7,j8,,,,,,,StartUp,,,Column1
i11,100,,i11,0,,i11,2,,i11,306.603,211.31,306.603,306.603,,i11,420,51,51,51,,i11,420,74,74,74,,i11,2,2,2,2,,i11,4,4,4,4,,i11,40,25,25,25,,i11,80,,i4,.,b2,19.238,14.17,19.238,19.238,,i11,33.33333333,33.33333333,33.33333333,,i2,.,j3,31,3.214285714,31,31,,i11,1,2,3,4,5,6,7,8,,i11,,,31,0,0,,i11,102.8571429
i12,197,,i12,0,,i12,2,,i12,482.862,239.19,482.862,482.862,,i12,310,55,70,55,,i12,310,99,99,99,,i12,3,4,3,4,,i12,4,5,4,5,,i12,104,55,69,55,,i12,177,,i4,.,b3,20.112,14.533,20.112,20.112,,i12,65.66666667,65.66666667,65.66666667,,i2,.,j4,34,3.571428571,34,34,,i12,1,2,3,4,5,6,7,8,,i12,,,34,0,0,,i12,195.7142857
i13,197,,i13,0,,i13,2,,i13,482.872,239.64,482.872,482.872,,i13,310,55,70,55,,i13,310,99,99,99,,i13,3,4,3,4,,i13,4,5,4,5,,i13,104,55,69,55,,i13,155,,i5,.,b1,28.947,37.958,28.947,28.947,,i13,65.66666667,65.66666667,65.66666667,,i2,.,j5,37,3.928571429,37,37,,i13,1,2,3,4,5,6,7,8,,i13,,,37,0,0,,i13,195.7142857
i14,197,,i14,2,,i14,0,,i14,482.882,239.94,482.882,482.882,,i14,310,55,70,55,,i14,310,99,99,99,,i14,3,4,3,4,,i14,4,5,4,5,,i14,104,55,69,55,,i14,0,,i5,.,b2,29.223,38.103,29.223,29.223,,i14,65.66666667,65.66666667,65.66666667,,i2,.,j6,40,4.285714286,40,40,,i14,1,2,3,4,5,6,7,8,,i14,,,40,1,40,,i14,195.7142857
i15,12,,i15,0,,i15,6,,i15,365.46,24.049,365.46,365.46,,i15,60,48,48,48,,i15,70,60,60,60,,i15,1,1,1,1,,i15,2,1,2,1,,i15,5.4,2.4,2.4,2.4,,i15,12,,i5,.,b3,29.683,38.248,29.683,29.683,,i15,4,4,4,,i2,.,j7,43,4.642857143,43,43,,i15,1,2,3,4,5,6,7,8,,i15,,,43,0,0,,i15,34.28571429
i16,12,,i16,0,,i16,7,,i16,365.47,24.055,365.47,365.47,,i16,60,48,48,48,,i16,70,60,60,60,,i16,1,1,1,1,,i16,2,1,2,1,,i16,5.4,2.4,2.4,2.4,,i16,12,,i6,.,b1,28.937,38.081,28.937,28.937,,i16,4,4,4,,i2,.,j8,46,5,46,46,,i16,1,2,3,4,5,6,7,8,,i16,,,46,0,0,,i16,34.28571429
i17,12,,i17,0,,i17,8,,i17,365.48,24.262,365.48,365.48,,i17,60,48,48,48,,i17,70,60,60,60,,i17,1,1,1,1,,i17,2,1,2,1,,i17,5.4,2.4,2.4,2.4,,i17,12,,i6,.,b2,29.213,38.234,29.213,29.213,,i17,4,4,4,,i3,.,j1,44,327.8,44,44,,i17,1,2,3,4,5,6,7,8,,i17,,,44,0,0,,i17,34.28571429
i18,12,,i18,9,,i18,0,,i18,365.49,24.379,365.49,365.49,,i18,60,48,48,48,,i18,70,60,60,60,,i18,1,1,1,1,,i18,2,1,2,1,,i18,5.4,2.4,2.4,2.4,,i18,0,,i6,.,b3,29.673,38.387,29.673,29.673,,i18,4,4,4,,i3,.,j2,50.85714286,374.6285714,50.85714286,50.85714286,,i18,1,2,3,4,5,6,7,8,,i18,,,50.85714286,0,0,,i18,34.28571429
i19,12,,i19,5,,i19,0,,i19,365.475,24.504,365.475,365.475,,i19,60,48,48,48,,i19,70,60,60,60,,i19,1,1,1,1,,i19,2,1,2,1,,i19,5.4,2.4,2.4,2.4,,i19,0,,i7,.,b1,18.413,13.842,18.413,18.413,,i19,4,4,4,,i3,.,j3,57.71428571,421.4571429,57.71428571,57.71428571,,i19,1,2,3,4,5,6,7,8,,i19,,,57.71428571,0,0,,i19,34.28571429
i20,155,,i20,0,,i20,8,,i20,415.541,120.67,415.541,415.541,,i20,70,55,55,55,,i20,80,78,78,78,,i20,16,3,16,3,,i20,24,5,24,5,,i20,54.24,54.24,54.24,54.24,,i20,134,,i7,.,b2,19.218,14.211,19.218,19.218,,i20,51.66666667,51.66666667,51.66666667,,i3,.,j4,64.57142857,468.2857143,64.57142857,64.57142857,,i20,1,2,3,4,5,6,7,8,,i20,,,64.57142857,0,0,,i20,1630.571429
i21,155,,i21,0,,i21,8,,i21,415.551,120.5,415.551,415.551,,i21,70,55,55,55,,i21,80,78,78,78,,i21,16,3,16,3,,i21,24,5,24,5,,i21,54.24,54.24,54.24,54.24,,i21,123,,i7,.,b3,20.092,14.58,20.092,20.092,,i21,51.66666667,51.66666667,51.66666667,,i3,.,j5,71.42857143,515.1142857,71.42857143,71.42857143,,i21,1,2,3,4,5,6,7,8,,i21,,,71.42857143,0,0,,i21,1630.571429
i22,400,,i22,8,,i22,0,,i22,188.3079,271.2,188.3079,188.3079,,i22,280,100,100,100,,i22,280,100,100,100,,i22,24,5,24,5,,i22,168,8,168,8,,i22,100,100,100,100,,i22,0,,i8,.,b1,18.403,13.879,18.403,18.403,,i22,133.3333333,133.3333333,133.3333333,,i3,.,j6,78.28571429,561.9428571,78.28571429,78.28571429,,i22,1,2,3,4,5,6,7,8,,i22,,,78.28571429,1,78.28571429,,i22,38571.42857
i23,400,,i23,0,,i23,8,,i23,188.3179,272.91,188.3179,188.3179,,i23,280,100,100,100,,i23,280,100,100,100,,i23,24,5,24,5,,i23,168,8,168,8,,i23,100,100,100,100,,i23,377,,i8,.,b2,19.208,14.257,19.208,19.208,,i23,133.3333333,133.3333333,133.3333333,,i3,.,j7,85.14285714,608.7714286,85.14285714,85.14285714,,i23,1,2,3,4,5,6,7,8,,i23,,,85.14285714,0,0,,i23,38571.42857
i24,50,,i24,0,,i24,8,,i24,626.106,100.1,626.106,626.106,,i24,120,38.5,38.5,38.5,,i24,120,80,80,80,,i24,1,1,1,1,,i24,2,2,2,2,,i24,26,12,12,12,,i24,47,,i8,.,b3,20.082,14.635,20.082,20.082,,i24,16.66666667,16.66666667,16.66666667,,i3,.,j8,92,655.6,92,92,,i24,1,2,3,4,5,6,7,8,,i24,,,92,0,0,,i24,51.42857143
i25,50,,i25,0,,i25,8,,i25,626.116,100.2,626.116,626.116,,i25,120,38.5,38.5,38.5,,i25,120,80,80,80,,i25,1,1,1,1,,i25,2,2,2,2,,i25,26,12,12,12,,i25,48,,i9,.,b1,17.5904,18.467,17.5904,17.5904,,i25,16.66666667,16.66666667,16.66666667,,i4,.,j1,44,327.8,44,44,,i25,1,2,3,4,5,6,7,8,,i25,,,44,0,0,,i25,51.42857143
i26,50,,i26,8,,i26,0,,i26,626.096,100.3,626.096,626.096,,i26,120,38.5,38.5,38.5,,i26,120,80,80,80,,i26,1,1,1,1,,i26,2,2,2,2,,i26,26,12,12,12,,i26,0,,i9,.,b2,18.2804,18.779,18.2804,18.2804,,i26,16.66666667,16.66666667,16.66666667,,i4,.,j2,50.85714286,374.6285714,50.85714286,50.85714286,,i26,1,2,3,4,5,6,7,8,,i26,,,50.85714286,0,0,,i26,51.42857143
i27,50,,i27,8,,i27,0,,i27,626.126,100.4,626.126,626.126,,i27,120,38.5,38.5,38.5,,i27,120,80,80,80,,i27,1,1,1,1,,i27,2,2,2,2,,i27,26,12,12,12,,i27,0,,i9,.,b3,18.9658,19.09,18.9658,18.9658,,i27,16.66666667,16.66666667,16.66666667,,i4,.,j3,57.71428571,421.4571429,57.71428571,57.71428571,,i27,1,2,3,4,5,6,7,8,,i27,,,57.71428571,0,0,,i27,51.42857143
i28,50,,i28,0,,i28,8,,i28,626.086,100.5,626.086,626.086,,i28,120,38.5,38.5,38.5,,i28,120,80,80,80,,i28,1,1,1,1,,i28,2,2,2,2,,i28,26,12,12,12,,i28,50,,i10,.,b1,17.6004,18.559,17.6004,17.6004,,i28,16.66666667,16.66666667,16.66666667,,i4,.,j4,64.57142857,468.2857143,64.57142857,64.57142857,,i28,1,2,3,4,5,6,7,8,,i28,,,64.57142857,0,0,,i28,51.42857143
i29,50,,i29,0,,i29,8,,i29,626.1065,100.6,626.1065,626.1065,,i29,120,38.5,38.5,38.5,,i29,120,80,80,80,,i29,1,1,1,1,,i29,2,2,2,2,,i29,26,12,12,12,,i29,50,,i10,.,b2,18.2904,18.865,18.2904,18.2904,,i29,16.66666667,16.66666667,16.66666667,,i4,.,j5,71.42857143,515.1142857,71.42857143,71.42857143,,i29,1,2,3,4,5,6,7,8,,i29,,,71.42857143,0,0,,i29,51.42857143
i30,155,,i30,0,,i30,8,,i30,415.531,120.41,415.531,415.531,,i30,70,55,55,55,,i30,80,78,78,78,,i30,16,3,16,3,,i30,24,5,24,5,,i30,54.24,54.24,54.24,54.24,,i30,150,,i10,.,b3,18.9758,19.171,18.9758,18.9758,,i30,51.66666667,51.66666667,51.66666667,,i4,.,j6,78.28571429,561.9428571,78.28571429,78.28571429,,i30,1,2,3,4,5,6,7,8,,i30,,,78.28571429,1,78.28571429,,i30,1630.571429
i31,155,,i31,8,,i31,0,,i31,415.561,120.4,415.561,415.561,,i31,70,55,55,55,,i31,80,78,78,78,,i31,16,3,16,3,,i31,24,5,24,5,,i31,54.24,54.24,54.24,54.24,,i31,0,,i11,.,b1,17.5804,18.648,17.5804,17.5804,,i31,51.66666667,51.66666667,51.66666667,,i4,.,j7,85.14285714,608.7714286,85.14285714,85.14285714,,i31,1,2,3,4,5,6,7,8,,i31,,,85.14285714,0,0,,i31,1630.571429
i32,350,,i32,8,,i32,0,,i32,303.784,132.08,303.784,303.784,,i32,140,70,140,70,,i32,140,120,140,120,,i32,5,5,5,5,,i32,8,8,8,8,,i32,140,70,140,70,,i32,0,,i11,.,b2,18.2704,18.948,18.2704,18.2704,,i32,116.6666667,116.6666667,116.6666667,,i4,.,j8,92,655.6,92,92,,i32,1,2,3,4,5,6,7,8,,i32,,,92,0,0,,i32,10094.28571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i11,.,b3,18.9558,19.246,18.9558,18.9558,,,,,,,i5,.,j1,25,2.5,25,25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i12,.,b1,17.1925,23.468,17.1925,17.1925,,,,,,,i5,.,j2,28,2.857142857,28,28,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i12,.,b2,17.7077,23.689,17.7077,17.7077,,,,,,,i5,.,j3,31,3.214285714,31,31,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i12,.,b3,18.2252,23.91,18.2252,18.2252,,,,,,,i5,.,j4,34,3.571428571,34,34,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,b1,17.2025,23.57,17.2025,17.2025,,,,,,,i5,.,j5,37,3.928571429,37,37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,b2,17.7177,23.791,17.7177,17.7177,,,,,,,i5,.,j6,40,4.285714286,40,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i13,.,b3,18.2352,24.013,18.2352,18.2352,,,,,,,i5,.,j7,43,4.642857143,43,43,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,b1,17.2125,23.676,17.2125,17.2125,,,,,,,i5,.,j8,46,5,46,46,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,b2,17.7277,23.899,17.7277,17.7277,,,,,,,i6,.,j1,25,2.5,25,25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i14,.,b3,18.2452,24.124,18.2452,18.2452,,,,,,,i6,.,j2,28,2.857142857,28,28,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,b1,29.453,25.75,29.453,29.453,,,,,,,i6,.,j3,31,3.214285714,31,31,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,b2,30.12,25.912,30.12,30.12,,,,,,,i6,.,j4,34,3.571428571,34,34,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i15,.,b3,30.856,26.074,30.856,30.856,,,,,,,i6,.,j5,37,3.928571429,37,37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,b1,29.463,25.887,29.463,29.463,,,,,,,i6,.,j6,40,4.285714286,40,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,b2,30.13,26.056,30.13,30.13,,,,,,,i6,.,j7,43,4.642857143,43,43,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i16,.,b3,30.866,26.226,30.866,30.866,,,,,,,i6,.,j8,46,5,46,46,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,b1,29.473,26.027,29.473,29.473,,,,,,,i7,.,j1,44,327.8,44,44,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,b2,30.14,26.206,30.14,30.14,,,,,,,i7,.,j2,50.85714286,374.6285714,50.85714286,50.85714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i17,.,b3,30.876,26.386,30.876,30.876,,,,,,,i7,.,j3,57.71428571,421.4571429,57.71428571,57.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,b1,29.483,26.159,29.483,29.483,,,,,,,i7,.,j4,64.57142857,468.2857143,64.57142857,64.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,b2,30.15,26.341,30.15,30.15,,,,,,,i7,.,j5,71.42857143,515.1142857,71.42857143,71.42857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i18,.,b3,30.886,26.523,30.886,30.886,,,,,,,i7,.,j6,78.28571429,561.9428571,78.28571429,78.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,b1,29.465,26.289,29.465,29.465,,,,,,,i7,.,j7,85.14285714,608.7714286,85.14285714,85.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,b2,30.135,26.472,30.135,30.135,,,,,,,i7,.,j8,92,655.6,92,92,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i19,.,b3,30.865,26.655,30.865,30.865,,,,,,,i8,.,j1,44,327.8,44,44,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,b1,23.8096,11.352,23.8096,23.8096,,,,,,,i8,.,j2,50.85714286,374.6285714,50.85714286,50.85714286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,b2,24.5249,11.663,24.5249,24.5249,,,,,,,i8,.,j3,57.71428571,421.4571429,57.71428571,57.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i20,.,b3,25.2402,11.974,25.2402,25.2402,,,,,,,i8,.,j4,64.57142857,468.2857143,64.57142857,64.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i21,.,b1,23.8196,11.387,23.8196,23.8196,,,,,,,i8,.,j5,71.42857143,515.1142857,71.42857143,71.42857143,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i21,.,b2,24.5349,11.705,24.5349,24.5349,,,,,,,i8,.,j6,78.28571429,561.9428571,78.28571429,78.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i21,.,b3,25.2502,12.022,25.2502,25.2502,,,,,,,i8,.,j7,85.14285714,608.7714286,85.14285714,85.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i22,.,b1,6.960789,8.0841,6.960789,6.960789,,,,,,,i8,.,j8,92,655.6,92,92,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i22,.,b2,7.229889,8.4621,7.229889,7.229889,,,,,,,i9,.,j1,60,283,60,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i22,.,b3,7.498989,8.8501,7.498989,7.498989,,,,,,,i9,.,j2,68.57142857,323.4285714,68.57142857,68.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i23,.,b1,6.970789,8.0881,6.970789,6.970789,,,,,,,i9,.,j3,77.14285714,363.8571429,77.14285714,77.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i23,.,b2,7.239889,8.4781,7.239889,7.239889,,,,,,,i9,.,j4,85.71428571,404.2857143,85.71428571,85.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i23,.,b3,7.508989,8.8681,7.508989,7.508989,,,,,,,i9,.,j5,94.28571429,444.7142857,94.28571429,94.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i24,.,b1,28.313,22.4,28.313,28.313,,,,,,,i9,.,j6,102.8571429,485.1428571,102.8571429,102.8571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i24,.,b2,29.256,22.5,29.256,29.256,,,,,,,i9,.,j7,111.4285714,525.5714286,111.4285714,111.4285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i24,.,b3,30.498,22.6,30.498,30.498,,,,,,,i9,.,j8,120,566,120,120,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i25,.,b1,28.323,23.1,28.323,28.323,,,,,,,i10,.,j1,60,283,60,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i25,.,b2,29.266,23.2,29.266,29.266,,,,,,,i10,.,j2,68.57142857,323.4285714,68.57142857,68.57142857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i25,.,b3,30.508,23.4,30.508,30.508,,,,,,,i10,.,j3,77.14285714,363.8571429,77.14285714,77.14285714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i26,.,b1,28.303,22.6,28.303,28.303,,,,,,,i10,.,j4,85.71428571,404.2857143,85.71428571,85.71428571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i26,.,b2,29.246,22.7,29.246,29.246,,,,,,,i10,.,j5,94.28571429,444.7142857,94.28571429,94.28571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i26,.,b3,30.488,22.8,30.488,30.488,,,,,,,i10,.,j6,102.8571429,485.1428571,102.8571429,102.8571429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i27,.,b1,28.333,25.1,28.333,28.333,,,,,,,i10,.,j7,111.4285714,525.5714286,111.4285714,111.4285714,,,,,,,,,,,,,,,,,,,,
